Name,First_Name,Age,Hometown,Season,Race_Place,Special_Season
Talicia Raggs,Talicia,29,"Los Angeles, California",Season 3,11th,
Dennis Hyde,Dennis,48,"Lexington, Kentucky",Season 3,10th,
Andrew Hyde,Andrew,21,"Lexington, Kentucky",Season 3,10th,
Heather Mahar,Heather,25,"Boston, Massachusetts",Season 3,9th,
Eve Madison,Eve,25,"New York, New York",Season 3,9th,
Michael Ilacqua,Michael,28,"San Diego, California",Season 3,8th,
Kathy Perez,Kathy,31,"Birmingham, Michigan",Season 3,8th,
Aaron Goldschmidt,Aaron,27,"New York, New York",Season 3,7th,
Arianne Udell,Arianne,27,"New York, New York",Season 3,7th,
Andre Plummer,Andre,32,"Los Angeles, California",Season 3,6th,
Damon Wafer,Damon,33,"Long Beach, California",Season 3,6th,
John Vito Pietanza,John,28,"Staten Island, New York",Season 3,5th,
Jill Aquilino,Jill,24,"Manhattan, New York",Season 3,5th,
Derek Riker,Derek,32,"Los Angeles, California",Season 3,4th,
Drew Riker,Drew,32,"Los Angeles, California",Season 3,4th,
Ken Duphiney,Ken,40,"New York, New York",Season 3,3rd,
Gerard Duphiney,Gerard,35,"Denville, New Jersey",Season 3,3rd,
Teri Pollack,Teri,49,"Palm City, Florida",Season 3,2nd,
Ian Pollack,Ian,50,"Palm City, Florida",Season 3,2nd,
Flo Pesenti,Flo,23,"New York, New York",Season 3,1st,
Zach Behr,Zach,23,"New York, New York",Season 3,1st,
Debra Carmody,Debra,49,"Louisville, Kentucky",Season 4,12th,
Steve Carmody,Steve,40,"Louisville, Kentucky",Season 4,12th,
Amanda Adams,Amanda,25,"Sioux Falls, South Dakota",Season 4,11th,
Chris Garry,Chris,28,"Sioux Falls, South Dakota",Season 4,11th,
Russell Brown,Russell,32,"Hermosa Beach, California",Season 4,10th,
Cindy Duck,Cindy,39,"Los Angeles, California",Season 4,10th,
Steve Cottingham,Steve,47,"Santa Barbara, California",Season 4,9th,
Josh Cottingham,Josh,21,"Los Angeles, California",Season 4,9th,
Steve Meitz,Steve,46,"Chicago, Illinois",Season 4,8th,
Dave Cottingham,Dave,43,"Chicago, Illinois",Season 4,8th,
Monica Ambrose,Monica,29,"Duluth, Georgia",Season 4,7th,
Sheree Buchanan,Sheree,31,"Duluth, Georgia",Season 4,7th,
Tian Kitchen,Tian,30,"Miami, Florida",Season 4,6th,
Jaree Poteet,Jaree,33,"Miami, Florida",Season 4,6th,
Millie Smith,Millie,29,"Chattanooga, Tennessee",Season 4,5th,
Chuck Shankles,Chuck,28,"Chattanooga, Tennessee",Season 4,5th,
Jon Weiss,Jon,40,"Long Island, New York",Season 4,4th,
Al Rios,Al,34,"Long Island, New York",Season 4,4th,
David Dean,David,32,"Los Angeles, California",Season 4,3rd,
Jeff Strnad,Jeff,37,"Los Angeles, California",Season 4,3rd,
Kelly Parks,Kelly,30,"Miami, Florida",Season 4,2nd,
Jon Corso,Jon,28,"Miami, Florida",Season 4,2nd,
Reichen Lehmkuhl,Reichen,28,"Los Angeles, California",Season 4,1st,
Chip Arndt,Chip,36,"Los Angeles, California",Season 4,1st,
Dennis Frentsos,Dennis,27,"West Nyack, New York",Season 5,11th,
Erika Shay,Erika,25,"Piermont, New York",Season 5,11th,
Alison Irwin,Alison,23,"Meadville, Pennsylvania",Season 5,10th,
Donny Patrick,Donny,21,"Shenandoah, Pennsylvania",Season 5,10th,
Jim McCoy,Jim,53,"Jacksonville, Florida",Season 5,9th,
Marsha McCoy,Marsha,26,"Gainesville, Florida",Season 5,9th,
Bob Barron,Bob,61,"Mount Laurel, New Jersey",Season 5,8th,
Joyce Nicolo,Joyce,54,"Mount Laurel, New Jersey",Season 5,8th,
Marshall Hudes,Marshall,31,"Dallas, Texas",Season 5,7th,
Lance Hudes,Lance,26,"Dallas, Texas",Season 5,7th,
Charla Faddoul,Charla,27,"Phoenix, Maryland",Season 5,6th,
Mirna Hindoyan,Mirna,27,"Towson, Maryland",Season 5,6th,
Kami French,Kami,26,"Eugene, Oregon",Season 5,5th,
Karli French,Karli,26,"Eugene, Oregon",Season 5,5th,
Linda Ruiz,Linda,45,"Palmdale, California",Season 5,4th,
Karen Heins,Karen,41,"Palmdale, California",Season 5,4th,
Brandon Davidson,Brandon,25,"Los Angeles, California",Season 5,3rd,
Nicole O'Brian,Nicole,21,"Los Angeles, California",Season 5,3rd,
Colin Guinn,Colin,24,"Corpus Christi, Texas",Season 5,2nd,
Christie Woods,Christie,26,"Corpus Christi, Texas",Season 5,2nd,
Chip McAllister,Chip,46,"Coto de Caza, California",Season 5,1st,
Kim McAllister,Kim,44,"Coto de Caza, California",Season 5,1st,
Avi Schneier,Avi,32,"Brooklyn, New York",Season 6,11th,
Joe Rashbaum,Joe,32,"Ventura, California",Season 6,11th,
Meredith Tufaro,Meredith,26,"Queens, New York",Season 6,10th,
Maria Sampogna,Maria,26,"Queens, New York",Season 6,10th,
Lena Jensen,Lena,23,"Pleasant Grove, Utah",Season 6,9th,
Kristy Jensen,Kristy,26,"Pleasant Grove, Utah",Season 6,9th,
Don St. Claire,Don,69,"Portola Valley, California",Season 6,8th,
Mary Jean St. Claire,Mary,66,"Portola Valley, California",Season 6,8th,
Gus McLeod,Gus,50,"Gaithersburg, Maryland",Season 6,7th,
Hera McLeod,Hera,24,"Los Angeles, California",Season 6,7th,
Jonathan Baker,Jonathan,42,"Los Angeles, California",Season 6,6th,
Victoria Fuller,Victoria,32,"Los Angeles, California",Season 6,6th,
Lori Harvey,Lori,33,"Molino, Florida",Season 6,5th,
Bolo Dar'tainian,Bolo,38,"Molino, Florida",Season 6,5th,
Hayden Kristianson,Hayden,25,"Chicago, Illinois",Season 6,4th,
Aaron Crumbaugh,Aaron,25,"Chicago, Illinois",Season 6,4th,
Adam Malis,Adam,27,"Los Angeles, California",Season 6,3rd,
Rebecca Cardon,Rebecca,29,"Los Angeles, California",Season 6,3rd,
Kris Perkins,Kris,30,"Long Beach, California",Season 6,2nd,
Jon Buehler,Jon,29,"Scottsdale, Arizona",Season 6,2nd,
Freddy Holliday,Freddy,34,"Miami, Florida",Season 6,1st,
Kendra Bentley,Kendra,25,"Miami, Florida",Season 6,1st,
Ryan Phillips,Ryan,31,"Landrum, South Carolina",Season 7,11th,
Chuck Horton,Chuck,32,"Inman, South Carolina",Season 7,11th,
Megan Baker,Megan,26,"Oak Park, California",Season 7,10th,
Heidi Heidel,Heidi,31,"Oak Park, California",Season 7,10th,
Debbie Cloyed,Debbie,25,"Woodbridge, Virginia",Season 7,9th,
Bianca Smith,Bianca,26,"Woodbridge, Virginia",Season 7,9th,
Susan Vaughn,Susan,54,"Hamilton, Ohio",Season 7,8th,
Patrick Vaughn,Patrick,26,"Hamilton, Ohio",Season 7,8th,
Ray Hosteau,Ray,44,"Canfield, Ohio",Season 7,7th,
Deana Shane,Deana,27,"Youngstown, Ohio",Season 7,7th,
Brian Smith,Brian,27,"Santa Monica, California",Season 7,6th,
Greg Smith,Greg,24,"Santa Monica, California",Season 7,6th,
Lynn Warren,Lynn,30,"West Hollywood, California",Season 7,5th,
Alex Ali,Alex,22,"West Hollywood, California",Season 7,5th,
Meredith Smith,Meredith,69,"Easton, Maryland",Season 7,4th,
Gretchen Smith,Gretchen,66,"Easton, Maryland",Season 7,4th,
Ron Young Jr.,Ron,28,"Villa Rica, Georgia",Season 7,3rd,
Kelly McCorkle,Kelly,26,"Greenville, South Carolina",Season 7,3rd,
Rob Mariano,Rob,29,"Canton, Massachusetts",Season 7,2nd,
Amber Brkich,Amber,26,"Beaver, Pennsylvania",Season 7,2nd,
Uchenna Agu,Uchenna,40,"Houston, Texas",Season 7,1st,
Joyce Agu,Joyce,44,"Houston, Texas",Season 7,1st,
Reggie Black,Reggie,42,"Woodbridge, Virginia",Season 8,10th,
Kimberly Black,Kimberly,40,"Woodbridge, Virginia",Season 8,10th,
Kenneth Black,Kenneth,11,"Woodbridge, Virginia",Season 8,10th,
Austin Black,Austin,8,"Woodbridge, Virginia",Season 8,10th,
Denny Rogers,Denny,46,"Shreveport, Louisiana",Season 8,9th,
Renee Rogers,Renee,42,"Shreveport, Louisiana",Season 8,9th,
Brittney Rogers,Brittney,22,"Shreveport, Louisiana",Season 8,9th,
Brock Rogers,Brock,19,"Shreveport, Louisiana",Season 8,9th,
Tony Aiello,Tony,57,"Mansfield, Massachusetts",Season 8,8th,
Kevin Kempskie,Kevin,31,"Mansfield, Massachusetts",Season 8,8th,
Matt Hanson,Matt,31,"Mansfield, Massachusetts",Season 8,8th,
David Alverson,David,26,"Mansfield, Massachusetts",Season 8,8th,
Mark Schroeder,Mark,40,"New Orleans, Louisiana",Season 8,7th,
Char Schroeder,Char,39,"New Orleans, Louisiana",Season 8,7th,
Stassi Schroeder,Stassi,17,"New Orleans, Louisiana",Season 8,7th,
Hunter Schroeder,Hunter,15,"New Orleans, Louisiana",Season 8,7th,
Bill Gaghan,Bill,40,"Glastonbury, Connecticut",Season 8,6th,
Tammy Gaghan,Tammy,42,"Glastonbury, Connecticut",Season 8,6th,
Billy Gaghan,Billy,12,"Glastonbury, Connecticut",Season 8,6th,
Carissa Gaghan,Carissa,9,"Glastonbury, Connecticut",Season 8,6th,
Tony Paolo,Tony,52,"Carmel, New York",Season 8,5th,
Marion Paolo,Marion,52,"Carmel, New York",Season 8,5th,
D.J. Paolo,D.J.,24,"Carmel, New York",Season 8,5th,
Brian Paolo,Brian,16,"Carmel, New York",Season 8,5th,
Michelle Godlewski,Michelle,42,"Des Plaines, Illinois",Season 8,4th,
Sharon Godlewski,Sharon,39,"Des Plaines, Illinois",Season 8,4th,
Christine Godlewski,Christine,37,"Des Plaines, Illinois",Season 8,4th,
Tricia Godlewski,Tricia,26,"Des Plaines, Illinois",Season 8,4th,
Linda Weaver,Linda,46,"Ormond Beach, Florida",Season 8,3rd,
Rebecca Weaver,Rebecca,19,"Ormond Beach, Florida",Season 8,3rd,
Rachel Weaver,Rachel,16,"Ormond Beach, Florida",Season 8,3rd,
Rolly Weaver IV,Rolly,14,"Ormond Beach, Florida",Season 8,3rd,
Wally Bransen,Wally,51,"Park Ridge, Illinois",Season 8,2nd,
Beth Bransen,Beth,25,"Park Ridge, Illinois",Season 8,2nd,
Lauren Bransen,Lauren,22,"Park Ridge, Illinois",Season 8,2nd,
Lindsay Bransen,Lindsay,20,"Park Ridge, Illinois",Season 8,2nd,
Nick Linz,Nick,24,"Cincinnati, Ohio",Season 8,1st,
Alex Linz,Alex,22,"Cincinnati, Ohio",Season 8,1st,
Megan Linz,Megan,21,"Cincinnati, Ohio",Season 8,1st,
Tommy Linz,Tommy,19,"Cincinnati, Ohio",Season 8,1st,
John Lowe,John,38,"Dorchester, Massachusetts",Season 9,11th,
Scott Braginton-Smith,Scott,41,"West Harwich, Massachusetts",Season 9,11th,
Lisa Hinds,Lisa,48,"Santa Rosa Beach, Florida",Season 9,10th,
Joni Glaze,Joni,44,"Katy, Texas",Season 9,10th,
Wanda Lopez-Rochford,Wanda,44,"Smyrna, Georgia",Season 9,9th,
Desiree Cifre,Desiree,24,"New York, New York",Season 9,9th,
Danielle Turner,Danielle,22,"Staten Island, New York",Season 9,8th,
Dani Torchio,Dani,22,"Staten Island, New York",Season 9,8th,
Dave Spiker,Dave,30,"Manhattan, Kansas",Season 9,7th,
Lori Willems,Lori,25,"Manhattan, Kansas",Season 9,7th,
Lake Garner,Lake,37,"Hattiesburg, Mississippi",Season 9,6th,
Michelle Garner,Michelle,36,"Hattiesburg, Mississippi",Season 9,6th,
Fran Lazarus,Fran,61,"Silverthorne, Colorado",Season 9,5th,
Barry Lazarus,Barry,63,"Silverthorne, Colorado",Season 9,5th,
Joseph Meadows,Joseph,23,"Fort Smith, Arkansas",Season 9,4th,
Monica Cayce,Monica,23,"Fort Smith, Arkansas",Season 9,4th,
Ray Whitty,Ray,27,"Chicago, Illinois",Season 9,3rd,
Yolanda Brown-Moore,Yolanda,27,"Chicago, Illinois",Season 9,3rd,
Eric Sanchez,Eric,27,"Deerfield Beach, Florida",Season 9,2nd,
Jeremy Ryan,Jeremy,26,"Pompano Beach, Florida",Season 9,2nd,
B.J. Averell,B.J.,26,"Los Angeles, California",Season 9,1st,
Tyler MacNiven,Tyler,25,"San Francisco, California",Season 9,1st,
Bilal Abdul-Mani,Bilal,37,"Cleveland, Ohio",Season 10,12th,
Sa'eed Rudolph,Sa'eed,39,"Cleveland, Ohio",Season 10,12th,
Vipul Patel,Vipul,29,"Windermere, Florida",Season 10,11th,
Arti Patel,Arti,26,"Windermere, Florida",Season 10,11th,
Kellie Patterson,Kellie,22,"Columbia, South Carolina",Season 10,10th,
Jamie Hill,Jamie,22,"Columbia, South Carolina",Season 10,10th,
Duke Marcoccio,Duke,52,"Warwick, Rhode Island",Season 10,9th,
Lauren Marcoccio,Lauren,26,"Warwick, Rhode Island",Season 10,9th,
Tom Rock,Tom,39,"New York, New York",Season 10,8th,
Terry Cosentino,Terry,45,"New York, New York",Season 10,8th,
Peter Harsch,Peter,35,"Laguna Beach, California",Season 10,7th,
Sarah Reinertsen,Sarah,31,"Trabuco Canyon, California",Season 10,7th,
David Conley Jr.,David,32,"Stone, Kentucky",Season 10,6th,
Mary Conley,Mary,31,"Stone, Kentucky",Season 10,6th,
Erwin Cho,Erwin,32,"San Francisco, California",Season 10,5th,
Godwin Cho,Godwin,29,"San Francisco, California",Season 10,5th,
Dustin-Leigh Konzelman,Dustin-Leigh,24,"Riverside, California",Season 10,4th,
Kandice Pelletier,Kandice,24,"New York, New York",Season 10,4th,
Lyn Turk,Lyn,32,"Birmingham, Alabama",Season 10,3rd,
Karlyn Harris,Karlyn,32,"Helena, Alabama",Season 10,3rd,
Rob Diaz,Rob,31,"Los Angeles, California",Season 10,2nd,
Kimberly Chabolla,Kimberly,28,"Los Angeles, California",Season 10,2nd,
Tyler Denk,Tyler,29,"Los Angeles, California",Season 10,1st,
James Branaman,James,27,"Los Angeles, California",Season 10,1st,
John Vito Pietanza,John,32,"New York, New York",Season 11,11th,(All-Stars)
Jill Aquilino,Jill,29,"New York, New York",Season 11,11th,(All-Stars)
Kevin O'Connor,Kevin,40,"Bayonne, New Jersey",Season 11,10th,(All-Stars)
Drew Feinberg,Drew,41,"Staten Island, New York",Season 11,10th,(All-Stars)
David Conley Jr.,David,33,"Stone, Kentucky",Season 11,9th,(All-Stars)
Mary Conley,Mary,32,"Stone, Kentucky",Season 11,9th,(All-Stars)
Rob Mariano,Rob,30,"Pensacola, Florida",Season 11,8th,(All-Stars)
Amber Mariano,Amber,28,"Pensacola, Florida",Season 11,8th,(All-Stars)
Teri Pollack,Teri,53,"Palm City, Florida",Season 11,7th,(All-Stars)
Ian Pollack,Ian,54,"Palm City, Florida",Season 11,7th,(All-Stars)
Joe Baldassare,Joe,56,"Laguna Niguel, California",Season 11,6th,(All-Stars)
Bill Bartek,Bill,53,"Laguna Niguel, California",Season 11,6th,(All-Stars)
Uchenna Agu,Uchenna,42,"Houston, Texas",Season 11,5th,(All-Stars)
Joyce Agu,Joyce,46,"Houston, Texas",Season 11,5th,(All-Stars)
Oswald Mendez,Oswald,36,"New York, New York",Season 11,4th,(All-Stars)
Danny Jimenez,Danny,41,"Miami, Florida",Season 11,4th,(All-Stars)
Charla Faddoul,Charla,30,"Towson, Maryland",Season 11,3rd,(All-Stars)
Mirna Hindoyan,Mirna,30,"Towson, Maryland",Season 11,3rd,(All-Stars)
Dustin Seltzer,Dustin,24,"Seattle, Washington",Season 11,2nd,(All-Stars)
Kandice Pelletier,Kandice,25,"New York, New York",Season 11,2nd,(All-Stars)
Eric Sanchez,Eric,28,"Deerfield Beach, Florida",Season 11,1st,(All-Stars)
Danielle Turner,Danielle,23,"Staten Island, New York",Season 11,1st,(All-Stars)
Ari Bonias,Ari,21,"Fountain Valley, California",Season 12,11th,
Staella Gianakakos,Staella,23,"Fountain Valley, California",Season 12,11th,
Kate Lewis,Kate,49,"Thousand Oaks, California",Season 12,10th,
Pat Hendrickson,Pat,65,"Thousand Oaks, California",Season 12,10th,
Marianna Ruiz,Marianna,25,"Miami, Florida",Season 12,9th,
Julia Ruiz,Julia,26,"Miami, Florida",Season 12,9th,
Lorena Segura,Lorena,27,"Sherman Oaks, California",Season 12,8th,
Jason Widener,Jason,33,"Sherman Oaks, California",Season 12,8th,
Shana Wall,Shana,32,"Los Angeles, California",Season 12,7th,
Jennifer McCall,Jennifer,32,"Los Angeles, California",Season 12,7th,
Azaria Azene,Azaria,27,"New Orleans, Louisiana",Season 12,6th,
Hendekea Azene,Hendekea,23,"Torrance, California",Season 12,6th,
"Kent ""Kynt"" Cothron",Kent,21,"Louisville, Kentucky",Season 12,5th,
"Jennifer ""Vyxsin"" Fiala",Jennifer,22,"Louisville, Kentucky",Season 12,5th,
Nate Hagstrom,Nate,24,"Fountain Valley, California",Season 12,4th,
Jen Parker,Jen,23,"Huntington Beach, California",Season 12,4th,
Nick Fulks,Nick,23,"Chicago, Illinois",Season 12,3rd,
Don Jerousek,Don,68,"Elkhorn, Wisconsin",Season 12,3rd,
Ron Hsu,Ron,58,"Tacoma, Washington",Season 12,2nd,
Christina Hsu,Christina,26,"Washington, D.C.",Season 12,2nd,
T.K. Erwin,T.K.,22,"Huntington Beach, California",Season 12,1st,
Rachel Rosales,Rachel,23,"Huntington Beach, California",Season 12,1st,
Anita Jones,Anita,63,"Eugene, Oregon",Season 13,11th,
Arthur Jones,Arthur,61,"Eugene, Oregon",Season 13,11th,
Anthony Marotta,Anthony,32,"Los Angeles, California",Season 13,10th,
Stephanie Kacandes,Stephanie,32,"Los Angeles, California",Season 13,10th,
Mark Yturralde,Mark,41,"San Diego, California",Season 13,9th,
Bill Kahler,Bill,42,"San Diego, California",Season 13,9th,
Marisa Axelrod,Marisa,22,"Spartanburg, South Carolina",Season 13,8th,
Brooke Jackson,Brooke,24,"Columbia, South Carolina",Season 13,8th,
Aja Benton,Aja,25,"Los Angeles, California",Season 13,7th,
Ty White,Ty,25,"West Bloomfield, Michigan",Season 13,7th,
Kelly Crabb,Kelly,26,"Houston, Texas",Season 13,6th,
Christy Cook,Christy,26,"Austin, Texas",Season 13,6th,
Terence Gerchberg,Terence,35,"New York, New York",Season 13,5th,
Sarah Leshner,Sarah,31,"New York, New York",Season 13,5th,
Toni Imbimbo,Toni,51,"Woodside, California",Season 13,4th,
Dallas Imbimbo,Dallas,22,"Woodside, California",Season 13,4th,
Andrew Lappitt,Andrew,22,"Tucson, Arizona",Season 13,3rd,
Dan Honig,Dan,23,"Wilmington, Delaware",Season 13,3rd,
Ken Greene,Ken,51,"Tampa, Florida",Season 13,2nd,
Tina Greene,Tina,48,"San Diego, California",Season 13,2nd,
Nick Spangler,Nick,22,"New York, New York",Season 13,1st,
"Emily ""Starr"" Spangler",Emily,21,"Fort Worth, Texas",Season 13,1st,
Preston McCamy,Preston,28,"Columbia, South Carolina",Season 14,11th,
Jennifer Hopka,Jennifer,26,"Columbia, South Carolina",Season 14,11th,
Steve Cole,Steve,43,"Martinsville, Virginia",Season 14,10th,
Linda Cole,Linda,52,"Martinsville, Virginia",Season 14,10th,
Brad Hunt,Brad,52,"Columbus, Ohio",Season 14,9th,
Victoria Hunt,Victoria,47,"Columbus, Ohio",Season 14,9th,
Amanda Blackledge,Amanda,23,"San Diego, California",Season 14,8th,
Kris Klicka,Kris,24,"San Diego, California",Season 14,8th,
Christie Volkmer,Christie,37,"Choctaw, Oklahoma",Season 14,7th,
Jodi Wincheski,Jodi,40,"Houston, Texas",Season 14,7th,
Mel White,Mel,68,"Lynchburg, Virginia",Season 14,6th,
Mike White,Mike,38,"Santa Monica, California",Season 14,6th,
Mark Munoz,Mark,48,"Los Angeles, California",Season 14,5th,
Michael Munoz,Michael,51,"Maui, Hawaii",Season 14,5th,
Kisha Hoffman,Kisha,28,"The Bronx, New York",Season 14,4th,
Jen Hoffman,Jen,24,"Louisville, Kentucky",Season 14,4th,
Margie Adams,Margie,50,"Denver, Colorado",Season 14,3rd,
Luke Adams,Luke,22,"Denver, Colorado",Season 14,3rd,
Jaime Edmondson,Jaime,29,"Fort Lauderdale, Florida",Season 14,2nd,
Cara Rosenthal,Cara,26,"Boca Raton, Florida",Season 14,2nd,
Tammy Jih,Tammy,26,"San Francisco, California",Season 14,1st,
Victor Jih,Victor,35,"Los Angeles, California",Season 14,1st,
Eric Paskel,Eric,41,"Encino, California",Season 15,12th,
Lisa Paskel,Lisa,43,"Encino, California",Season 15,12th,
Garrett Paul,Garrett,28,"Santa Cruz, California",Season 15,11th,
Jessica Stout,Jessica,27,"San Francisco, California",Season 15,11th,
Marcy Malloy,Marcy,60,"San Francisco, California",Season 15,10th,
Ron Shalita,Ron,59,"San Francisco, California",Season 15,10th,
Zev Glassenberg,Zev,26,"Sherman Oaks, California",Season 15,9th,
Justin Kanew,Justin,30,"Los Angeles, California",Season 15,9th,
Lance Layne,Lance,41,"Salem, Massachusetts",Season 15,8th,
Keri Morrione,Keri,33,"Peabody, Massachusetts",Season 15,8th,
Mika Combs,Mika,22,"Nashville, Tennessee",Season 15,7th,
Canaan Smith,Canaan,26,"Nashville, Tennessee",Season 15,7th,
Maria Ho,Maria,26,"Arcadia, California",Season 15,6th,
Tiffany Michelle,Tiffany,25,"Los Angeles, California",Season 15,6th,
Gary Tomljenovich,Gary,47,"Laurel, Montana",Season 15,5th,
Matt Tomljenovich,Matt,22,"Bozeman, Montana",Season 15,5th,
"Herbert ""Flight Time"" Lang",Herbert,32,"Brinkley, Arkansas",Season 15,4th,
"Nathaniel ""Big Easy"" Lofton",Nathaniel,28,"New Orleans, Louisiana",Season 15,4th,
Brian Kleinschmidt,Brian,27,"Nashville, Tennessee",Season 15,3rd,
Ericka Dunlap,Ericka,27,"Nashville, Tennessee",Season 15,3rd,
Sam McMillen,Sam,23,"Liberty, Missouri",Season 15,2nd,
Dan McMillen,Dan,21,"Liberty, Missouri",Season 15,2nd,
Meghan Rickey,Meghan,23,"San Diego, California",Season 15,1st,
Cheyne Whitney,Cheyne,23,"San Diego, California",Season 15,1st,
Dana Davis,Dana,39,"Arlington, Texas",Season 16,11th,
Adrian Davis,Adrian,40,"Arlington, Texas",Season 16,11th,
Jody Kelly,Jody,71,"Round Rock, Texas",Season 16,10th,
Shannon Foster,Shannon,22,"Georgetown, Texas",Season 16,10th,
Monique Pryor,Monique,39,"West Orange, New Jersey",Season 16,9th,
Shawne Morgan,Shawne,39,"Bowie, Maryland",Season 16,9th,
Joe Wang,Joe,42,"El Segundo, California",Season 16,8th,
Heidi Wang,Heidi,37,"El Segundo, California",Season 16,8th,
Jordan Lloyd,Jordan,22,"Charlotte, North Carolina",Season 16,7th,
Jeff Schroeder,Jeff,31,"Norridge, Illinois",Season 16,7th,
Steve Smith,Steve,57,"Encinitas, California",Season 16,6th,
Allie Smith,Allie,23,"Encinitas, California",Season 16,6th,
Carol Rosenfeld,Carol,47,"Los Angeles, California",Season 16,5th,
Brandy Snow,Brandy,40,"Los Angeles, California",Season 16,5th,
Louie Stravato,Louie,47,"Providence, Rhode Island",Season 16,4th,
Michael Naylor,Michael,45,"Providence, Rhode Island",Season 16,4th,
Brent Horne,Brent,28,"Columbia, South Carolina",Season 16,3rd,
Caite Upton,Caite,20,"Lexington, South Carolina",Season 16,3rd,
Jet McCoy,Jet,30,"Ada, Oklahoma",Season 16,2nd,
Cord McCoy,Cord,29,"Tupelo, Oklahoma",Season 16,2nd,
Dan Pious,Dan,24,"Barrington, Rhode Island",Season 16,1st,
Jordan Pious,Jordan,22,"Barrington, Rhode Island",Season 16,1st,
Ron Kellum,Ron,45,"Los Angeles, California",Season 17,11th,
Tony Stovall,Tony,42,"Tucson, Arizona",Season 17,11th,
Andie DeKroon,Andie,43,"Atlanta, Georgia",Season 17,10th,
Jenna Sykes,Jenna,21,"Athens, Georgia",Season 17,10th,
Connor Diemand-Yauman,Connor,22,"Chesterland, Ohio",Season 17,9th,
Jonathan Schwartz,Jonathan,22,"Cranford, New Jersey",Season 17,9th,
Katie Seamon,Katie,23,"Rahway, New Jersey",Season 17,8th,
Rachel Johnston,Rachel,24,"Moorestown, New Jersey",Season 17,8th,
Michael Wu,Michael,58,"Sugar Land, Texas",Season 17,7th,
Kevin Wu,Kevin,20,"Sugar Land, Texas",Season 17,7th,
Gary Ervin,Gary,53,"Morganfield, Kentucky",Season 17,6th,
Mallory Ervin,Mallory,24,"Lexington, Kentucky",Season 17,6th,
