,/occupation/occupation_name_short_singular,/occupation/quick_facts/qf_median_pay_annual/value,/occupation/what_they_do/section_body,/occupation/how_to_become_one/section_body,/occupation/summary_work_environment,/occupation/similar_occupations/section_body
10,Agricultural or Food Scientist,76400.0,Agricultural and food scientists research ways to improve the efficiency and safety of agricultural establishments and products.  Conduct research and experiments to improve the productivity and sustainability of field crops and farm animals Animal scientists ,"Agricultural and food scientists need at least a bachelor’s degree from an accredited postsecondary institution, although many earn advanced degrees. Some animal scientists earn a doctor of veterinary medicine (DVM) degree.   Communication skills. ","Agricultural and food scientists work in laboratories, in offices, and in the field. Most agricultural and food scientists work full time.","agricultural and food scientists.    Agricultural and food science technicians help scientists with testing and research related to plants, animals, fibers, and food and beverage products. Biochemists and biophysicists study the chemical and physical principles of living things and of biological processes. Biological technicians assist biological and medical scientists with tasks such as laboratory setup, data collection, and observation. Chemical technicians conduct laboratory tests to help scientists analyze the properties of materials. Conservation scientists and foresters manage the land quality of forests, parks, rangelands, and other natural resources. Environmental scientists and specialists conduct research or investigations to protect the environment or human health. Farmers, ranchers, and other agricultural managers run establishments that produce crops, livestock, and dairy products. Microbiologists study microorganisms such as bacteria, algae, and fungi. Veterinarians care for the health of animals and work to protect public health. Zoologists and wildlife biologists study animals, those both in captivity and in the wild, and how they interact with their ecosystems."
11,Agricultural Engineer,88750.0,"Agricultural engineers attempt to solve agricultural problems concerning power supplies, the efficiency of machinery, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products.  Use computer software to design equipment, systems, or structures  ","Agricultural engineers typically need a bachelor’s degree in an engineering field, such as agricultural or biological engineering.  A degree from an ABET-accredited engineering program Analytical skills. ","Agricultural engineers work mostly in offices, but may spend time traveling to agricultural settings. Agricultural engineers typically work full time.","agricultural engineers.    Agricultural and food science technicians help scientists with testing and research related to plants, animals, fibers, and food and beverage products. Agricultural and food scientists research ways to improve the efficiency and safety of agricultural establishments and products. Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Civil engineers plan, design, and supervise the construction and maintenance of building and infrastructure projects. Conservation scientists and foresters manage the land quality of forests, parks, rangelands, and other natural resources. Environmental engineers use engineering disciplines in developing solutions to problems of planetary health. Farmers, ranchers, and other agricultural managers run establishments that produce crops, livestock, and dairy products. Hydrologists study water and how it moves across and through the Earth’s crust. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Mechanical engineers design, develop, build, and test mechanical and thermal sensors and devices."
12,Agricultural Worker,34790.0,"Agricultural workers maintain crops and tend livestock. They perform physical labor and operate machinery under the supervision of farmers, ranchers, and other agricultural managers.  Plant, inspect, and harvest crops Agricultural equipment operators ","Most agricultural workers do not need a formal educational credential to enter these occupations; however, animal breeders typically need at least a high school diploma. Agricultural workers typically receive on-the-job training.   Dexterity. ","Agricultural workers usually do their tasks outdoors in all kinds of weather. Most work full time, and some work more than 40 hours per week.","agricultural workers.    Agricultural and food science technicians help scientists with testing and research related to plants, animals, fibers, and food and beverage products. Farmers, ranchers, and other agricultural managers run establishments that produce crops, livestock, and dairy products. Forest and conservation workers perform physical labor to improve the quality of natural areas such as forests, rangelands, and wetlands. Grounds maintenance workers install and maintain landscapes, prune trees or shrubs, and do other tasks to ensure that vegetation is attractive, orderly, and safe. Veterinary assistants and laboratory animal caretakers handle routine animal care and help scientists,veterinarians, and others with their daily tasks. Animal care and service workers attend to or train animals."
13,Aircraft and Avionics Equipment Mechanic or Technician,75400.0,"Aircraft and avionics equipment mechanics and technicians install, test, adjust, and repair equipment and systems in aircraft.  Diagnose mechanical or electrical problems Airframe and powerplant (A&P) mechanics ","Aircraft and avionics equipment mechanics and technicians typically need postsecondary education, such as a certificate from a Federal Aviation Administration (FAA)-approved program. Some enter the occupation with an associate’s degree; others have a high school diploma and train on the job or in the military. These workers typically are certified by the FAA.   Detail oriented. ","Aircraft and avionics equipment mechanics and technicians work in hangars, in repair stations, or on airfields. The environment may be loud because of aircraft engines and equipment.","aircraft and avionics equipment mechanics and technicians.    Aerospace engineering and operations technologists and technicians run and maintain equipment used to develop, test, produce, and sustain aircraft and spacecraft. Automotive body and glass repairers restore, refinish, and replace vehicle bodies and frames, windshields, and window glass. Automotive service technicians and mechanics inspect, maintain, and repair cars and light trucks. Diesel service technicians and mechanics inspect, repair, and overhaul buses, trucks, or any vehicle with a diesel engine. Electrical and electronic engineering technologists and technicians help engineers design and develop equipment that is powered by electricity or electric current. Electrical and electronics installers and repairers install or repair a variety of electrical equipment. Electricians install, maintain, and repair electrical power, communications, lighting, and control systems. Electro-mechanical and mechatronics technologists and technicians operate, test, and maintain electromechanical or robotic equipment. Heavy vehicle and mobile equipment service technicians inspect, maintain, and repair vehicles and machinery used in construction, farming, and other industries. Mechanical engineering technologists and technicians help mechanical engineers design, develop, test, and manufacture machines and other devices."
14,Airline or Commercial Pilot,171210.0,"Airline and commercial pilots fly and navigate airplanes, helicopters, and other aircraft.  Check the overall condition of the aircraft before and after every flight Airline pilots ","Airline pilots typically need a bachelor’s degree and experience as a commercial or military pilot. Commercial pilots typically need flight training, and some employers may require or prefer them to have a degree.  Student pilot certificate Commercial pilot certificate. ","Pilots usually have variable work schedules, with overnight layovers that are more common for airline pilots.",airline and commercial pilots.    Air traffic controllers coordinate the movement of aircraft to maintain safe distances between them. Water transportation workers operate and maintain vessels that take cargo and people over water.
15,Air Traffic Controller,137380.0,"Air traffic controllers coordinate the movement of aircraft, including within the vicinity of airports and between altitude sectors and control centers, so that they maintain safe distances.  Monitor and direct the movement of aircraft on the ground and in the air Tower controllers ","There are several different paths to becoming an air traffic controller. Candidates typically need an associate's or bachelor’s degree through a Federal Aviation Administration (FAA)-approved Air Traffic Collegiate Training Initiative (AT-CTI) program, several years of progressively responsible work experience, or a combination of education and experience.   developmental  ","Air traffic controllers work in control towers, approach control facilities, or en route centers. Their work can be stressful because maximum concentration is required at all times. Night, weekend, and rotating shifts are common.","air traffic controllers.   911 operators  Airline and commercial pilots fly and navigate airplanes, helicopters, and other aircraft. Public safety telecommunicators, including911 operatorsandfire dispatchers, answer emergency and nonemergency calls and provide resources to assist those in need."
16,Animal Care and Service Worker,31830.0,"Animal care and service workers attend to or train animals. Working with pets and other nonfarm animals, these caretakers and trainers feed, groom, and exercise the animals or teach them to respond to human commands.  Give food and water to animals Animal trainers ",Animal care and service workers typically have a high school diploma or equivalent and learn the occupation on the job. Many employers prefer to hire people who have experience with animals.   Compassion. ,"Animal care and service workers are employed in a variety of settings, including kennels, zoos, stables, animal shelters, pet stores, veterinary clinics, and aquariums. Some parts of the job may be physically or emotionally demanding, and workers risk injury when caring for animals.","animal care and service workers.    Agricultural workers maintain crops and tend livestock. Farmers, ranchers, and other agricultural managers run establishments that produce crops, livestock, and dairy products. Veterinarians care for the health of animals and work to protect public health. Veterinary assistants and laboratory animal caretakers handle routine animal care and help scientists,veterinarians, and others with their daily tasks. Veterinary technologists and technicians do medical tests that help diagnose animals’ injuries and illnesses. Zoologists and wildlife biologists study animals, those both in captivity and in the wild, and how they interact with their ecosystems."
17,Announcer or DJ,,"Announcers present news and sports or may interview guests on media such as radio and television. Disc jockeys (DJs) act as masters of ceremonies (emcees) or play recorded music at weddings, parties, or clubs.  Present music and information on radio or television shows or at venues Podcasters ","Entry requirements for announcers and DJs vary. Broadcast announcers and radio DJs typically need a bachelor’s degree in journalism, broadcasting, or communications; experience gained from internships or working at a school radio or television station is helpful. Other types of DJs typically need a high school diploma and some on-the-job training.   Business skills.  ","Many announcers and DJs work in radio and television studios or are self-employed. Some work part time, and schedules might include early mornings, nights, weekends, and holidays.","announcers and DJs.    Actors express ideas and portray characters in theater, film, television, and other performing arts media. Broadcast, sound, and video technicians set up, operate, and maintain the electrical equipment for media programs. Musicians and singers play instruments or sing for live audiences and in recording studios. Producers and directors make business and creative decisions about film, television, stage, and other productions. News analysts, reporters, and journalists keep the public updated about current events and noteworthy information. Writers and authors develop written content for various types of media."
18,Anthropologist or Archeologist,63800.0,"Anthropologists and archeologists study the origin, development, and behavior of humans. They study the culture and characteristics of living or past civilizations throughout the world.  Plan and oversee cultural research  ","To enter the occupation, anthropologists and archeologists typically need at least a master’s degree in anthropology or archeology. Employers may prefer to hire candidates who have experience doing fieldwork in their discipline.   Analytical skills. ","Anthropologists and archeologists typically work in offices, in laboratories, or in the field. Fieldwork may require travel for extended periods.","anthropologists and archeologists.    Archivists and curators oversee institutions’ collections, such as of historical items or of artwork. Museum technicians and conservators prepare and restore items in those collections. Economists conduct research, prepare reports, and evaluate issues related to monetary and fiscal policy. They also may collect and analyze statistical data. Geographers study the Earth and the distribution of its land, features, and inhabitants. Historians research, analyze, interpret, and write about the past by studying historical documents and sources. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. Psychologists study cognitive, emotional, and social processes and behavior by observing, interpreting, and recording how people relate to one another and to their environments. Sociologists study society and social behavior by examining the groups, cultures, social institutions, and processes that develop when people interact and work together. Survey researchers design and conduct surveys and analyze data. Environmental scientists and specialists conduct research or investigations to protect the environment or human health."
19,"Arbitrator, Mediator, or Conciliator",71540.0,"Arbitrators, mediators, and conciliators facilitate negotiation and conflict resolution through dialogue. They resolve conflicts outside of the court system by mutual consent of the parties involved.  Facilitate communication between disputants to guide parties toward mutual agreement Arbitrators ","Arbitrators, mediators, and conciliators typically need at least a bachelor's degree and related experience to enter the occupation. They learn their skills through a combination of education, training, and work experience.   Analytical skills. ","Many arbitrators, mediators, and conciliators work in the legal services industry and for state or local governments. Most work full time.","arbitrators, mediators, and conciliators.    Compliance officers make sure that people and organizations meet legal and regulatory requirements. Judges and hearing officers oversee legal matters in court or administrative proceedings. Labor relations specialists resolve employee-management disputes and negotiate labor contracts. Lawyers advise and represent clients on legal proceedings or transactions. Paralegals and legal assistants supportlawyersby performing a variety of tasks, such as maintaining and organizing files, conducting legal research, and drafting documents. Private detectives and investigators gather, analyze, and report information to clients regarding legal or personal matters."
20,Architect,93310.0,"Architects plan and design houses, factories, office buildings, and other structures.  Meet with clients to determine objectives and requirements for structures  ","There are typically three main steps to becoming a licensed architect: completing a bachelor’s degree in architecture, gaining relevant experience through a paid internship, and passing the Architect Registration Examination.   Analytical skills ","Architects spend much of their time in offices, where they develop plans, meet with clients, and consult with engineers and other architects. They also visit construction sites to prepare initial drawings and review the progress of projects to ensure that clients’ objectives are met.","architects.    Civil engineers plan, design, and supervise the construction and maintenance of building and infrastructure projects. Construction managers plan, coordinate, budget, and supervise construction projects from start to finish. Drafters use software to convert the designs of engineers and architects into technical drawings. Industrial designers combine art, business, and engineering to develop the concepts for manufactured products. Landscape architects design parks and other outdoor spaces. Urban and regional planners develop comprehensive plans and programs for use of land and physical facilities in cities, counties, metropolitan areas, and other jurisdictions. Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Surveying and mapping technicians collect data and make maps of the Earth's surface. Surveyors make precise measurements to determine property boundaries. Construction and building inspectors ensure that construction meets building codes and ordinances, zoning regulations, and contract specifications."
21,Architectural or Engineering Manager,165370.0,"Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering.  Make detailed plans to research and develop products, processes, or designs  ","To enter the occupation, architectural and engineering managers typically need at least a bachelor’s degree and considerable work experience as an architect or engineer.   Analytical skills.  ","Architectural and engineering managers typically work in offices, although some work in other settings, such as research laboratories or industrial production plants. Most work full time, and some work more than 40 hours a week.","architectural and engineering managers.    Aerospace engineers design, develop, and test aircraft, spacecraft, satellites, and missiles. Architects plan and design houses, factories, office buildings, and other structures. Civil engineers plan, design, and supervise the construction and maintenance of building and infrastructure projects. Construction managers plan, coordinate, budget, and supervise construction projects from start to finish. Electrical engineers design, develop, test, and supervise the manufacture of electrical equipment. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Industrial production managers oversee the operations of manufacturing and related plants. Materials engineers develop, process, and test materials used to create a wide range of products. Mechanical engineers design, develop, build, and test mechanical and thermal sensors and devices. Nuclear engineers research and develop projects or address problems concerning the release, control, and use of nuclear energy and nuclear waste disposal."
22,"Archivist, Curator, or Museum Worker",57120.0,"Archivists appraise, process, catalog, and preserve permanent records and historically valuable documents. Curators oversee collections of artwork and historical items and may conduct public service activities for an institution. Museum technicians and conservators prepare and restore objects and documents in museum collections and exhibits.  Authenticate and appraise historical documents and archival materials Archivists ","Archivists, curators, and conservators typically need a master’s degree; museum technicians typically need a bachelor’s degree. Fields of degree may include fine and performing arts, history, or social science. Experience gained through an internship or by volunteering in archives or museums is helpful.   Archivists. ","Archivists, curators, museum technicians, and conservators work in museums, historical sites, governments, colleges and universities, corporations, and other institutions. Most work full time.","archivists, curators, and museum workers.    Anthropologists and archeologists study the origin, development, and behavior of humans. Craft and fine artists use a variety of materials and techniques to create art for sale and exhibition. Historians research, analyze, interpret, and write about the past by studying historical documents and sources. Librarians and library media specialists help people find information and conduct research for personal and professional use."
23,Art Director,106500.0,"Art directors are responsible for the visual style and images in magazines, newspapers, product packaging, and movie and television productions. They create the overall design and direct others who develop artwork or layouts.  Determine how best to represent a concept visually In advertising and public relations ","Art directors need at least a bachelor’s degree in an art or design subject and previous work experience. Depending on the industry, they may have worked as graphic designers, fine artists, editors, or photographers, or in another art or design occupation before becoming art directors.   Communication skills. ","Most art directors are self-employed. Others work for advertising and public relations firms, newspaper and magazine publishers, motion picture and video industries, and specialized design services firms.","art directors.    Craft and fine artists use a variety of materials and techniques to create art for sale and exhibition. Fashion designers create clothing, accessories, and footwear. Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. Industrial designers combine art, business, and engineering to develop the concepts for manufactured products. Special effects artists and animators create images that appear to move and visual effects for various forms of media and entertainment. Photographers use their technical expertise, creativity, and composition skills to produce and preserve images. Writers and authors develop written content for various types of media."
24,Assembler or Fabricator,39720.0,"Assemblers and fabricators build finished products and the parts that go into them. They use handtools and machines to make vehicles, toys, electronic devices, and more.  Read and understand schematics and blueprints Aircraft structure, surfaces, rigging, and systems assemblers ","The education and qualifications typically needed to enter these occupations vary by industry and employer. Although a high school diploma is enough for most jobs, experience and training are needed for advanced assembly work.   Color vision ","Most assemblers and fabricators work in manufacturing plants. Their duties may involve long periods of standing or sitting. Most work full time, including some evenings and weekends.","assemblers and fabricators.    Boilermakers assemble, install, maintain, and repair boilers, closed vats, and other large vessels or containers that hold liquids and gases. Calibration technologists and technicians inspect, adjust, and test measurement devices against standards, such as those used in manufacturing, healthcare, and other industries. Industrial machinery mechanics, machinery maintenance workers, and millwrights install, maintain, and repair factory equipment and other industrial machinery. Metal and plastic machine workers set up and operate equipment that cuts, shapes, and forms metal and plastic materials or pieces. Welders, cutters, solderers, and brazers use hand-held or remotely controlled equipment to join, repair, or cut metal parts and products. Sheet metal workers fabricate or install products that are made from thin metal sheets. Ironworkers install structural and reinforcing iron and steel to form and support buildings, bridges, and roads."
25,Athlete or Sports Competitor,70280.0,"Athletes and sports competitors participate in organized, officiated sporting events to entertain spectators.  Practice to develop and improve their skills  ",No formal educational credential is typically required to become an athlete or sports competitor. Athletes must have athletic talent and extensive knowledge of their sport. They typically get such knowledge through years of experience at lower levels of competition.   Athleticism ,"Athletes and sports competitors may work irregular schedules, including evenings, weekends, and holidays. They typically work more than 40 hours per week for several months during their particular sports season. They frequently work outside, so they may be exposed to all weather conditions.","athletes and sports competitors.    Coaches teach amateur or professional athletes the skills they need to succeed at their sport. Scouts evaluate athletes as possible recruits. Fitness trainers and instructors lead, instruct, and motivate individuals or groups in exercise activities. Recreation workers organize, conduct, and promote a variety of group activities for leisure and other purposes. Umpires, referees, and other sports officials preside over competitive athletic or sporting events to help maintain standards of play."
